# ========
# captured on: Mon Jul 15 18:25:22 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match drawpointsdash --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 302, 303, 304, 305, 306, 307, 308, 309 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 10K of event 'cycles'
# Event count (approx.): 8822239113
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.05%    bench  bench                    [.] GrGpu::onDraw(GrDrawTarget::DrawInfo const&)                                                                                                                                                                                                                                                                                                                                                                         
     0.05%    bench  nouveau_dri.so           [.] nv50_constbufs_validate                                                                                                                                                                                                                                                                                                                                                                                              
     0.05%    bench  bench                    [.] SkPath::~SkPath()                                                                                                                                                                                                                                                                                                                                                                                                    
     0.05%    bench  nouveau_dri.so           [.] util_copy_rect                                                                                                                                                                                                                                                                                                                                                                                                       
     0.05%    bench  libdricore.so            [.] _vbo_InvalidateState                                                                                                                                                                                                                                                                                                                                                                                                 
     0.05%    bench  libstdc++.so.6.0.16      [.] operator delete(void*)                                                                                                                                                                                                                                                                                                                                                                                               
     0.05%    bench  bench                    [.] GrAARectRenderer::aaFillRectIndexBuffer(GrGpu*)                                                                                                                                                                                                                                                                                                                                                                      
     0.05%    bench  bench                    [.] GrGLProgram::setMatrixAndRenderTargetHeight(GrDrawState const&)                                                                                                                                                                                                                                                                                                                                                      
     0.05%    bench  bench                    [.] SkPath::close()                                                                                                                                                                                                                                                                                                                                                                                                      
     0.05%    bench  libdricore.so            [.] _mesa_validate_DrawElements                                                                                                                                                                                                                                                                                                                                                                                          
