# ========
# captured on: Mon Jul 15 17:53:51 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match rrects_1_stroke_4 --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 158, 159, 160, 161, 162, 163, 164, 165 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1706269220
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................
#
     0.05%    bench  bench                    [.] GrTexture::writePixels(int, int, int, int, GrPixelConfig, void const*, unsigned long, unsigned int)                                                                                                                                                  
     0.05%    bench  bench                    [.] SkStrokeRec::applyToPath(SkPath*, SkPath const&) const                                                                                                                                                                                               
     0.05%    bench  libdricore.so            [.] _mesa_valid_to_render                                                                                                                                                                                                                                
     0.05%    bench  bench                    [.] SkRegion::SkRegion()                                                                                                                                                                                                                                 
     0.05%    bench  nouveau_dri.so           [.] nv50_fp_linkage_validate                                                                                                                                                                                                                             
     0.05%    bench  bench                    [.] GrResource::getContext()                                                                                                                                                                                                                             
     0.05%    bench  bench                    [.] SkRegion::~SkRegion()                                                                                                                                                                                                                                
     0.05%    bench  bench                    [.] SkRTree::insert(SkRTree::Node*, SkRTree::Branch*, unsigned short)                                                                                                                                                                                    
     0.05%    bench  bench                    [.] SkPoint::setLength(float)                                                                                                                                                                                                                            
     0.05%    bench  bench                    [.] GrGpuGL::flushMiscFixedFunctionState()                                                                                                                                                                                                               
     0.05%    bench  libGL.so.1.2             [.] glActiveTextureARB                                                                                                                                                                                                                                   
     0.05%    bench  libglsl.so               [.] ralloc_size                                                                                                                                                                                                                                          
     0.05%    bench  libglsl.so               [.] ir_instruction::as_swizzle()                                                                                                                                                                                                                         
     0.05%    bench  bench                    [.] GrGLBufferImpl::isLocked() const                                                                                                                                                                                                                     
     0.05%    bench  libdricore.so            [.] _mesa_BufferDataARB                                                                                                                                                                                                                                  
     0.05%    bench  bench                    [.] GrDrawTarget::drawIndexed(GrPrimitiveType, int, int, int, int, SkRect const*)                                                                                                                                                                        
     0.05%    bench  bench                    [.] GrGpu::clear(SkIRect const*, unsigned int, GrRenderTarget*)                                                                                                                                                                                          
     0.05%    bench  libdricore.so            [.] _mesa_PixelStorei                                                                                                                                                                                                                                    
     0.05%    bench  bench                    [.] _ZN13SkPathStroker9preJoinToERK7SkPointPS0_S3_b.constprop.20                                                                                                                                                                                         
     0.05%    bench  bench                    [.] GrDrawTarget::drawIndexedInstances(GrPrimitiveType, int, int, int, SkRect const*)                                                                                                                                                                    
     0.05%    bench  libdricore.so            [.] _mesa_get_format_base_format                                                                                                                                                                                                                         
     0.05%    bench  libstdc++.so.6.0.16      [.] operator new(unsigned long)                                                                                                                                                                                                                          
     0.05%    bench  bench                    [.] SkBlitter::Choose(SkBitmap const&, SkMatrix const&, SkPaint const&, void*, unsigned long)                                                                                                                                                            
     0.05%    bench  libgallium.so            [.] st_upload_constants                                                                                                                                                                                                                                  
     0.05%    bench  bench                    [.] SkChopCubicAt(SkPoint const*, SkPoint*, float)                                                                                                                                                                                                       
     0.05%    bench  bench                    [.] sort_edges(SkEdge**, int, SkEdge**)                                                                                                                                                                                                                  
     0.05%    bench  bench                    [.] SkStrokeRec::SkStrokeRec(SkPaint const&)                                                                                                                                                                                                             
     0.05%    bench  libgallium.so            [.] cso_set_clip                                                                                                                                                                                                                                         
     0.05%    bench  libm-2.15.so             [.] __acosf_finite                                                                                                                                                                                                                                       
